Opis,Wartość
"Ile jest kierunków pierwszego i drugiego stopnia z podziałem na formę stacjonarną ",354
Ilość uczelni oferuje studia drugiego stopnia,59
"Ile jest kierunków pierwszego i drugiego stopnia z podziałem na formę niestacjonarną ",271
"Ile jest kierunków pierwszego i drugiego stopnia z podziałem na formę stacjonarną i niestacjonarną ",169
Ilość jest kierunków o nazwie Informatyka,607
Ilość wydziałów oferuje studia informatyczna na dowolnm stopniu,186
