Nazwa kierunku,Poziom kształcenia,Profil kształcenia,Tytuł zawodowy,Forma kształcenia,Dyscyplina (Obszar/Dziedzina),Instytucja/jednostka
Bioinformatyka - k. unikatowy,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,"biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)",Uniwersytet Przyrodniczy we Wrocławiu; Wydział Biologii i Hodowli Zwierząt
Bioinformatyka i biologia systemów [do 2012-09-30 Makrokierunek bioinformatyka i biologia systemów],Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Uniwersytet Warszawski; Wydział Biologii
Uniwersytet Warszawski; Wydział Fizyki
Uniwersytet Warszawski; Wydział Matematyki, Informatyki i Mechaniki"
Bioinformatyka i biologia systemów,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,"biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)","Uniwersytet Warszawski; Wydział Biologii
Uniwersytet Warszawski; Wydział Fizyki
Uniwersytet Warszawski; Wydział Matematyki, Informatyki i Mechaniki"
Bioinformatyka i biologia systemów [do 2012-09-30 Makrokierunek bioinformatyka i biologia systemów],Drugiego stopnia,Nieokreślony,Nieokreślony,Stacjonarne,,"Uniwersytet Warszawski; Wydział Biologii
Uniwersytet Warszawski; Wydział Fizyki
Uniwersytet Warszawski; Wydział Matematyki, Informatyki i Mechaniki"
Bioinformatyka i biologia systemów,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,"biologia (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)","Uniwersytet Warszawski; Wydział Biologii
Uniwersytet Warszawski; Wydział Fizyki
Uniwersytet Warszawski; Wydział Matematyki, Informatyki i Mechaniki"
Bioinformatyka z biofizyką stosowaną,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,"biofizyka (Obszar nauk przyrodniczych/dziedzina nauk biologicznych)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)","Uniwersytet Jagielloński w Krakowie; Wydział Biochemii, Biofizyki i Biotechnologii"
Geoinformatyka,Pierwszego stopnia,Praktyczny,Licencjat lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
geografia (Obszar nauk przyrodniczych/dziedzina nauk o Ziemi)","Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki
Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Nauk o Ziemi i Gospodarki Przestrzennej"
Geoinformatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"geodezja i kartografia (Obszar nauk technicznych/dziedzina nauk technicznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)",Politechnika Warszawska; Wydział Geodezji i Kartografii
Geoinformatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,"geografia (Obszar nauk przyrodniczych/dziedzina nauk o Ziemi)
informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)","Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki
Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Nauk o Ziemi i Gospodarki Przestrzennej"
Geoinformatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,"geodezja i kartografia (Obszar nauk technicznych/dziedzina nauk technicznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)",Akademia Morska w Szczecinie; Wydział Nawigacyjny
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,Niestacjonarne,,Wyższa Szkoła Umiejętności im. Stanisława Staszica w Kielcach w likwidacji; Wydział Nauk Humanistyczno-Ekonomicznych
Informatyka,Jednolite magisterskie,Nieokreślony,Nieokreślony,Stacjonarne,,Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Matematyki i Informatyki
Informatyka,Jednolite magisterskie,Nieokreślony,Nieokreślony,Stacjonarne,,Uniwersytet Łódzki; Wydział Matematyki i Informatyki
Informatyka,Jednolite magisterskie,Nieokreślony,Nieokreślony,Stacjonarne,,Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
Informatyka,Jednolite magisterskie,Nieokreślony,Nieokreślony,Stacjonarne,,Politechnika Warszawska; Wydział Matematyki i Nauk Informacyjnych
Informatyka,Jednolite magisterskie,Nieokreślony,Nieokreślony,Stacjonarne,,Politechnika Warszawska; Wydział Elektryczny
Informatyka,Jednolite magisterskie,Nieokreślony,Nieokreślony,Stacjonarne,,Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych
Informatyka,Jednolite magisterskie,Nieokreślony,Nieokreślony,Stacjonarne,,"Politechnika Łódzka; Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej"
Informatyka,Jednolite magisterskie,Nieokreślony,Nieokreślony,Stacjonarne,,"Politechnika Łódzka; Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki"
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,Niestacjonarne,,Wyższa Szkoła Administracji i Zarządzania w Zawierciu w likwidacji; Wydział Zarządzania
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,Niestacjonarne,,Szkoła Wyższa im. Pawła Włodkowica w Płocku; Wydział Informatyki
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Szkoła Wyższa im. Pawła Włodkowica w Płocku; Wydział Informatyki
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,Stacjonarne,,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),"Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki"
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),"Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),"Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki"
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Cybernetyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Cybernetyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Cybernetyki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Cybernetyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Cybernetyki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
Informatyka,Drugiego stopnia,Praktyczny,Magister lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet Łódzki; Wydział Matematyki i Informatyki
