Nazwa kierunku,Poziom kształcenia,Profil kształcenia,Tytuł zawodowy,Forma kształcenia,Dyscyplina (Obszar/Dziedzina),Instytucja/jednostka
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,Stacjonarne,,Politechnika Wrocławska; Wydział Podstawowych Problemów Techniki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Wrocławska; Wydział Podstawowych Problemów Techniki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydział Nauk Ścisłych
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydział Nauk Ścisłych
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydział Nauk Ścisłych
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Matematyki i Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Matematyki i Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Matematyki i Informatyki
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Uniwersytet Warszawski; Wydział Matematyki, Informatyki i Mechaniki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),"Uniwersytet Warszawski; Wydział Matematyki, Informatyki i Mechaniki"
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Uniwersytet Warszawski; Wydział Matematyki, Informatyki i Mechaniki"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),"Uniwersytet Warszawski; Wydział Matematyki, Informatyki i Mechaniki"
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy; Wydział Techniczny
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)",Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy; Wydział Techniczny
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
automatyka i robotyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektronika (Obszar nauk technicznych/dziedzina nauk technicznych)",Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy; Wydział Techniczny
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)",Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Inżynierii Elektrycznej i Komputerowej
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
elektrotechnika (Obszar nauk technicznych/dziedzina nauk technicznych)",Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Inżynierii Elektrycznej i Komputerowej
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Informatyki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Informatyki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Politechnika Częstochowska; Wydział Inżynierii Mechanicznej i Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Częstochowska; Wydział Inżynierii Mechanicznej i Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Częstochowska; Wydział Inżynierii Mechanicznej i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Informatyki, Elektroniki i Telekomunikacji"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Informatyki, Elektroniki i Telekomunikacji"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Informatyki, Elektroniki i Telekomunikacji"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Informatyki, Elektroniki i Telekomunikacji"
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu; Wydział Politechniczny
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu; Wydział Politechniczny
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu; Wydział Politechniczny
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Handlowa w Radomiu; Wydział Studiów Strategicznych i Technicznych
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
nauki o zarządzaniu (Obszar nauk społecznych/dziedzina nauk ekonomicznych)",Uniwersytet Ekonomiczny w Katowicach; Wydział Informatyki i Komunikacji
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
nauki o zarządzaniu (Obszar nauk społecznych/dziedzina nauk ekonomicznych)",Uniwersytet Ekonomiczny w Katowicach; Wydział Informatyki i Komunikacji
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet Jana Kochanowskiego w Kielcach; Wydział Matematyczno-Przyrodniczy
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Jana Kochanowskiego w Kielcach; Wydział Matematyczno-Przyrodniczy
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Jana Kochanowskiego w Kielcach; Wydział Matematyczno-Przyrodniczy
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,Stacjonarne,,Politechnika Wrocławska; Wydział Podstawowych Problemów Techniki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Wrocławska; Wydział Podstawowych Problemów Techniki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Politechnika Wrocławska; Wydział Informatyki i Zarządzania
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Wrocławska; Wydział Informatyki i Zarządzania
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Wrocławska; Wydział Informatyki i Zarządzania
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Wrocławska; Wydział Informatyki i Zarządzania
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Politechnika Warszawska; Wydział Elektryczny
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Elektryczny
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Elektryczny
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Politechnika Warszawska; Wydział Elektryczny
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Elektryczny
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Elektryczny
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Świętokrzyska; Wydział Elektrotechniki, Automatyki i Informatyki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Świętokrzyska; Wydział Elektrotechniki, Automatyki i Informatyki"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Świętokrzyska; Wydział Elektrotechniki, Automatyki i Informatyki"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Świętokrzyska; Wydział Elektrotechniki, Automatyki i Informatyki"
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,Stacjonarne,,Politechnika Warszawska; Wydział Matematyki i Nauk Informacyjnych
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Matematyki i Nauk Informacyjnych
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,Stacjonarne,,Politechnika Warszawska; Wydział Matematyki i Nauk Informacyjnych
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Warszawska; Wydział Matematyki i Nauk Informacyjnych
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Politechnika Śląska; Wydział Automatyki, Elektroniki i Informatyki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Śląska; Wydział Automatyki, Elektroniki i Informatyki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Śląska; Wydział Automatyki, Elektroniki i Informatyki"
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Biznesu i Zarządzania w Ciechanowie; WYDZIAŁ NAUK EKONOMICZNYCH I ZARZĄDZANIA
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Biznesu i Zarządzania w Ciechanowie; WYDZIAŁ NAUK EKONOMICZNYCH I ZARZĄDZANIA
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Biznesu i Zarządzania w Ciechanowie; WYDZIAŁ NAUK EKONOMICZNYCH I ZARZĄDZANIA
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Częstochowska; Wydział Elektryczny
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Częstochowska; Wydział Elektryczny
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Matematyki i Informatyki Użytkowej w likwidacji z siedzibą w Białymstoku; Wydział Matematyki i Informatyki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
fizyka (Obszar nauk ścisłych/dziedzina nauk fizycznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Uniwersytet Rzeszowski; Wydział Matematyczno-Przyrodniczy
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Akademia Techniczno-Humanistyczna w Bielsku-Białej; Wydział Budowy Maszyn i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Akademia Techniczno-Humanistyczna w Bielsku-Białej; Wydział Budowy Maszyn i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Akademia Techniczno-Humanistyczna w Bielsku-Białej; Wydział Budowy Maszyn i Informatyki
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Politechnika Gdańska; Wydział Elektroniki, Telekomunikacji i Informatyki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Gdańska; Wydział Elektroniki, Telekomunikacji i Informatyki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Gdańska; Wydział Elektroniki, Telekomunikacji i Informatyki"
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,"Politechnika Gdańska; Wydział Elektroniki, Telekomunikacji i Informatyki"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Gdańska; Wydział Elektroniki, Telekomunikacji i Informatyki"
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),"Politechnika Gdańska; Wydział Elektroniki, Telekomunikacji i Informatyki"
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Matematyki i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Matematyki i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Matematyki i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych),Uniwersytet Mikołaja Kopernika w Toruniu; Wydział Matematyki i Informatyki
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Kultury Społecznej i Medialnej w Toruniu; Wydział Nauk o Kulturze Społecznej i Medialnej
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Kultury Społecznej i Medialnej w Toruniu; Wydział Nauk o Kulturze Społecznej i Medialnej
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Kultury Społecznej i Medialnej w Toruniu; Wydział Nauk o Kulturze Społecznej i Medialnej
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet w Białymstoku; Wydział Matematyki i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Licencjat lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)",Uniwersytet w Białymstoku; Wydział Matematyki i Informatyki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet w Białymstoku; Wydział Matematyki i Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)
informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)",Uniwersytet w Białymstoku; Wydział Matematyki i Informatyki
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Państwowa Wyższa Szkoła Zawodowa im. Witelona w Legnicy; Wydział Nauk Technicznych i Ekonomicznych
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Stacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Państwowa Wyższa Szkoła Zawodowa im. Witelona w Legnicy; Wydział Nauk Technicznych i Ekonomicznych
Informatyka,Pierwszego stopnia,Praktyczny,Inżynier lub inny równorzędny,Niestacjonarne,"informatyka (Obszar nauk technicznych/dziedzina nauk technicznych)
matematyka (Obszar nauk ścisłych/dziedzina nauk matematycznych)",Państwowa Wyższa Szkoła Zawodowa im. Witelona w Legnicy; Wydział Nauk Technicznych i Ekonomicznych
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Politechnika Lubelska; Wydział Elektrotechniki i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Lubelska; Wydział Elektrotechniki i Informatyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Lubelska; Wydział Elektrotechniki i Informatyki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Politechnika Lubelska; Wydział Elektrotechniki i Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Lubelska; Wydział Elektrotechniki i Informatyki
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Politechnika Lubelska; Wydział Elektrotechniki i Informatyki
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu; Wydział Informatyki i Matematyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu; Wydział Informatyki i Matematyki
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu; Wydział Informatyki i Matematyki
Informatyka,Drugiego stopnia,Nieokreślony,Nieokreślony,Niestacjonarne,,Warszawska Wyższa Szkoła Informatyki w Warszawie
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Warszawska Wyższa Szkoła Informatyki w Warszawie
Informatyka,Drugiego stopnia,Ogólnoakademicki,Magister lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Warszawska Wyższa Szkoła Informatyki w Warszawie
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Warszawska Wyższa Szkoła Informatyki w Warszawie
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Warszawska Wyższa Szkoła Informatyki w Warszawie
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Stacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Warszawska Wyższa Szkoła Informatyki w Warszawie
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Finansów i Prawa w Bielsku-Białej; Wydział Finansów i Technologii Informatycznych
Informatyka,Pierwszego stopnia,Ogólnoakademicki,Inżynier lub inny równorzędny,Niestacjonarne,informatyka (Obszar nauk technicznych/dziedzina nauk technicznych),Wyższa Szkoła Finansów i Prawa w Bielsku-Białej; Wydział Finansów i Technologii Informatycznych
Informatyka,Pierwszego stopnia,Nieokreślony,Nieokreślony,"Niestacjonarne, Stacjonarne",,Wyższa Szkoła Informatyki i Umiejętności z siedzibą w Łodzi; Wydział Informatyki i Zarządzania
